experiment_id,organ,ethanol_pct,exposure_h,flow_ul_h,endotoxin_ng_ml,ros_index,lipid_index,albumin_relative,injury_score,provenance
SYN-001,liver,0.0,48.0,30.0,0.0,0.4361622198949489,0.9144500299031867,1.02741695981513,0.0767563473372076,study-inspired synthetic anchor
SYN-002,liver,0.0,48.0,30.0,0.0,0.3215435977854857,0.8275124108163924,1.0151706713782302,0.0203625406270009,study-inspired synthetic anchor
SYN-003,liver,0.08,48.0,30.0,0.0,0.6349576943850694,1.035381963350137,0.987562930130349,0.18200549486874912,study-inspired synthetic anchor
SYN-004,liver,0.08,48.0,30.0,0.0,0.7376993845900978,1.0211842940600073,0.9459317494044877,0.18407629124538674,study-inspired synthetic anchor
SYN-005,liver,0.08,48.0,30.0,0.0,0.6470155980937039,1.0459467348015516,0.9635927924664813,0.19164429340841882,study-inspired synthetic anchor
SYN-006,liver,0.16,48.0,30.0,0.0,1.0299969282178525,1.2852615124257696,0.8912618974766483,0.3966907807989165,study-inspired synthetic anchor
SYN-007,liver,0.16,48.0,30.0,0.0,1.035480782275835,1.2509569261889513,0.9063306925357221,0.3906041443334703,study-inspired synthetic anchor
SYN-008,liver,0.12,24.0,35.0,0.5,1.1204434236793537,1.262755064141829,0.8602891154996261,0.43931343027699127,fully synthetic
SYN-009,liver,0.0,48.0,35.0,0.0,0.4289011732439885,0.8409095829286429,1.023426453578218,0.06717166505117497,fully synthetic
SYN-010,liver,0.2,48.0,20.0,1.0,1.9315829167957854,1.7233061248854404,0.7421903835492354,0.8635695574336254,fully synthetic
SYN-011,liver,0.18,36.0,40.0,0.25,1.4261548267487765,1.477974628212346,0.8305275229786587,0.5916528051722457,fully synthetic
SYN-012,liver,0.16,60.0,35.0,0.5,1.4670847782905285,1.47361574550564,0.8000040341845532,0.6294824106157743,fully synthetic
SYN-013,liver,0.0,24.0,25.0,0.0,0.4277006449139098,0.7505826535257952,1.0160959368933145,0.01627040399129765,fully synthetic
SYN-014,liver,0.12,60.0,30.0,0.5,1.373824533435829,1.3874803798008493,0.8325448505335064,0.5467539842643515,fully synthetic
SYN-015,liver,0.2,36.0,25.0,0.25,1.3120074904382932,1.385743595366777,0.8500132244974115,0.5659288061880374,fully synthetic
SYN-016,liver,0.2,36.0,30.0,0.5,1.6153307094113805,1.5934370031716376,0.7847567440339022,0.6985576249208583,fully synthetic
SYN-017,liver,0.08,72.0,25.0,0.0,0.7854378354552644,1.029931527049049,0.9563196407681055,0.25251373897510043,fully synthetic
SYN-018,liver,0.14,24.0,40.0,0.5,1.2375747952810763,1.3553782155408767,0.8641020848855662,0.4806934647108773,fully synthetic
SYN-019,liver,0.04,36.0,35.0,0.5,0.4720754344430231,0.8659109954339325,0.9683429627867295,0.10801725448009862,fully synthetic
SYN-020,liver,0.08,72.0,30.0,0.5,1.1461610253076342,1.232593647524301,0.9103224072437702,0.4062220057879617,fully synthetic
SYN-021,liver,0.16,48.0,35.0,0.25,1.209623327859425,1.3692970365093506,0.8212417151076834,0.4869861009191407,fully synthetic
SYN-022,liver,0.14,36.0,40.0,0.5,1.1763439398637294,1.3520582446649256,0.847018280563254,0.49924824032397336,fully synthetic
SYN-023,liver,0.14,48.0,25.0,0.5,1.4340961490326143,1.42887694665451,0.8274475929082801,0.6089244057812586,fully synthetic
SYN-024,liver,0.16,24.0,20.0,0.25,1.1970234268510933,1.3652531496948825,0.8436580585731343,0.4606554854964544,fully synthetic
SYN-025,liver,0.16,24.0,25.0,1.0,1.5657565922621197,1.610433809874759,0.7817994848627652,0.713661610911075,fully synthetic
SYN-026,liver,0.02,72.0,30.0,0.25,0.7195678458055332,1.0801068296409468,1.0409549416948072,0.1820341763393412,fully synthetic
SYN-027,liver,0.08,72.0,20.0,0.5,1.038905227913346,1.1802999230074591,0.8920179114784565,0.37528869710897456,fully synthetic
SYN-028,liver,0.18,48.0,25.0,0.0,1.282736591510735,1.3588615951030716,0.8294083142531997,0.5138245350769266,fully synthetic
SYN-029,liver,0.06,24.0,35.0,0.5,0.7599628757258361,1.0017237686653189,0.9938281715445063,0.17864798891491224,fully synthetic
SYN-030,liver,0.12,72.0,40.0,0.0,0.9856875955575674,1.2957742274434014,0.882541652137901,0.37330494376908613,fully synthetic
SYN-031,liver,0.1,72.0,40.0,0.25,1.2086465444712662,1.3067005373062155,0.8704277931263749,0.4663327756477627,fully synthetic
SYN-032,liver,0.2,72.0,20.0,0.0,1.4723196911739254,1.4721935955263912,0.8107458129523986,0.65755554409016,fully synthetic
SYN-033,liver,0.02,60.0,40.0,1.0,0.9192878192131625,1.1914046049217946,0.9306518880011898,0.30833139568501966,fully synthetic
SYN-034,liver,0.06,60.0,30.0,0.25,0.8674604363539667,1.0766293221719785,0.9161501094867559,0.24481813153009285,fully synthetic
SYN-035,liver,0.2,36.0,20.0,0.0,1.3716457018534336,1.4144968564708496,0.871863126608293,0.5725675902875353,fully synthetic
SYN-036,liver,0.14,72.0,20.0,0.0,1.1803722963080148,1.2720083241027937,0.8790997170903253,0.4434477536519792,fully synthetic
SYN-037,liver,0.08,24.0,40.0,0.0,0.6928813519181115,1.0325282835257004,0.914834744010431,0.18797339254056905,fully synthetic
SYN-038,liver,0.06,48.0,40.0,0.5,0.7241699007358611,1.0421268795889278,0.9739273655100218,0.23226528837905477,fully synthetic
SYN-039,liver,0.0,60.0,40.0,0.0,0.47458237783273505,0.9262562217932488,1.0168259686654963,0.07831446252824062,fully synthetic
SYN-040,liver,0.06,72.0,30.0,0.25,0.7846068665899613,1.0821330873049517,0.9502077036682566,0.24766655968554796,fully synthetic
SYN-041,liver,0.18,24.0,35.0,0.0,1.1513122592246934,1.2878417917194873,0.8810860776258522,0.37524364297110957,fully synthetic
SYN-042,liver,0.16,72.0,30.0,0.25,1.4489925044631558,1.5101971891199755,0.8071661449139447,0.6017845857131326,fully synthetic
SYN-043,liver,0.04,60.0,30.0,0.0,0.5365343147978456,0.925278277866416,0.9628103071942102,0.13314168632823542,fully synthetic
SYN-044,liver,0.02,60.0,40.0,1.0,0.9265092319197406,1.0357539656102377,0.9137937283451726,0.2611371535101809,fully synthetic
SYN-045,liver,0.18,72.0,40.0,0.0,1.3564873113861655,1.4399898526754669,0.8796252643675326,0.5693887551253151,fully synthetic
SYN-046,liver,0.06,36.0,40.0,0.0,0.6598319121720713,0.9610109623139151,0.9722367442912259,0.1600520046937446,fully synthetic
SYN-047,liver,0.1,24.0,30.0,0.0,0.6287917192448945,0.9410655486027616,0.9913205206082852,0.14843512486865648,fully synthetic
SYN-048,liver,0.1,60.0,40.0,0.25,1.0579239101316675,1.2309993518503521,0.8787441110859048,0.39181452375154124,fully synthetic
SYN-049,liver,0.1,24.0,30.0,0.0,0.915911335466357,1.1448109805555708,0.9525206122546118,0.25625162223323733,fully synthetic
SYN-050,liver,0.06,24.0,20.0,0.25,0.5749629960126401,1.0191134551085503,0.9835696119242253,0.15587976089545058,fully synthetic
SYN-051,liver,0.08,72.0,35.0,0.0,0.908546763737664,1.0830318401287768,0.9170003498575504,0.29768097045941433,fully synthetic
SYN-052,liver,0.12,60.0,35.0,0.5,1.2796777831584432,1.361219469437233,0.8572308701186773,0.5193623314231895,fully synthetic
